,vacancy_name,company_name,city,salary_min,salary_max,salary_currency,vacancy_link,site
220,Lead python engineer,Emphasoft,Санкт-Петербург,,,,https://hh.ru/vacancy/44238111,www.hh.ru
221,Python Auto Tester (Remote),Auriga,Москва,,,,https://hh.ru/vacancy/45799240,www.hh.ru
222,Python developer,GamesBoost42,Москва,1 800,,['EUR'],https://hh.ru/vacancy/46550983,www.hh.ru
223,Senior python developer / Teamlead (Odoo),ООО АЙКРАФТ,Москва,250 000,,['руб.'],https://hh.ru/vacancy/44394420,www.hh.ru
224,Python Developer (SPB/Remote),Grid Dynamics,Санкт-Петербург,,,,https://hh.ru/vacancy/43536761,www.hh.ru
225,Backend developer (Python),The Head,Пермь,По договорённости,По договорённости,-,https://hh.ru/vacancy/43674112,www.hh.ru
226,"Инженер по тестированию Python, Логистика",Ozon Информационные технологии,Санкт-Петербург,,,,https://hh.ru/vacancy/45855310,www.hh.ru
227,Python-разработчик,Cornerstone Russia,Москва,,,,https://hh.ru/vacancy/45861184,www.hh.ru
228,Backend developer (Python),The Head,Краснодар,По договорённости,По договорённости,-,https://hh.ru/vacancy/43674070,www.hh.ru
229,Python Developer,АО АСТ,Москва,,,,https://hh.ru/vacancy/46023825,www.hh.ru
